FullDesID,CourseID,FullDes
112,20,Inheritance + Prototype Chain
113,20,"Latest features: ES6, ES7, ES8, ES9, ES10, ES2020"
114,21,Learn everything there is to know about Javascript - from scratch!
115,21,Build beautiful web apps to add to your portfolio
116,21,Get job ready with a deep understanding of the internals of JS
117,21,Work with Node JS and Express
118,21,Create a full E-Commerce app complete with authentication
119,21,Automate testing your code by creating your own custom testing framework!
120,22,"Build powerful, fast, user-friendly and reactive web apps"
121,22,Provide amazing user experiences by leveraging the power of JavaScript with ease
122,22,Apply for high-paid jobs or work as a freelancer in one the most-demanded sectors you can find in web dev right now
123,22,Learn React Hooks & Class-based Components
124,23,Build amazing single page applications with React JS and Redux
125,23,Master fundamental concepts behind structuring Redux applications
126,23,Realize the power of building composable components
127,23,"Be the engineer who explains how Redux works to everyone else, because you know the fundamentals so well"
128,23,"Become fluent in the toolchain supporting React, including NPM, Webpack, Babel, and ES6/ES2015 Javascript syntax"
129,24,"Build a scaleable API with authentication using Express, Mongo, and Passport"
130,24,Learn the differences between cookie-based and token-based authentication
131,24,Figure out what a Higher Order Component and how to use it to write dramatically less code
132,24,Write Redux middleware from scratch to uncover what is happening behind the scenes with Redux
133,24,Set up your own testing environment with Jest and Enzyme
134,24,Realize the power of building composable components
135,25,"Create boilerplate starter projects with React, Redux, Express, and Mongo"
136,25,Understand common web technologies and design patterns to connect them together
137,25,Master deployment techniques between the production and development environments
138,25,Make an app with Google OAuth authentication
139,25,Learn to effectively create and send emails from a backend server
140,25,Accept and process credit card payments from users
141,26,"Build, test, and launch React apps"
142,26,Use cutting-edge ES6/ES7 JavaScript
143,26,Setup authentication and user accounts
144,26,Deploy your React apps live to the web
145,26,Learn the latest React libraries and tools
146,26,"Master React, Redux, React-Router, and more"
147,27,Build amazing single page applications with React JS and GraphQL
148,27,Master fundamental concepts behind structuring GraphQL servers
149,27,Realize the power of building flexible data schemas
150,27,"Be the engineer who explains how GraphQL works to everyone else, because you know the fundamentals so well"
151,27,"Become fluent in the ecosystem supporting GraphQL, including the differences between Apollo and Relay"
152,28,React Hooks! (My favorite part of React!)
153,28,The new Context API
154,28,State management w/ useReducer + use Context (Redux Lite)
155,28,"The basics of React (props, state, etc)"
156,28,Master React Router
157,28,"Build tons of projects, each with a beautiful interface"
158,29,"Real-world skills to build real-world websites: professional, beautiful and truly responsive websites"
159,29,A huge project that will teach you everything you need to know to get started with HTML5 and CSS3
160,29,The proven 7 real-world steps from complete scratch to a fully functional and optimized website
161,29,Simple-to-use web design guidelines and tips to make your website stand out from the crowd
162,30,Tons of modern CSS techniques to create stunning designs and effects
163,30,"Advanced CSS animations with @keyframes, animation and transition"
164,30,"How CSS works behind the scenes: the cascade, specificity, inheritance, etc."
165,30,"CSS architecture: component-based design, BEM, writing reusable code, etc."
166,31,Create any website layout you can imagine
167,31,Support any device size with Responsive (mobile-friendly) Design
168,31,Add tasteful animations and effects with CSS3
169,31,Use common vocabulary from the design industry
170,32,Build beautiful websites which don't just contain great content but also look good
171,32,Use basic as well as advanced CSS features
172,32,Understand the concepts and theory behind CSS and certain CSS features
173,33,Build Multiple High Quality Website & UI Projects
174,33,HTML5 Semantic Layout & CSS Fundamentals
175,33,Flexbox & CSS Grid Projects
176,33,"CSS Variables, Transitions, Dropdowns, Overlays & More"
177,33,Website Hosting & Deployment With FTP & Git
178,33,All Skill Levels
179,34,"By the end of this course, you will have a basic & thorough understanding of HTML & CSS"
180,34,"Upon completion, you will have coded a handful of useful HTML & CSS examples"
181,34,"In the last section of this course, you focus on building a beautiful, semantic, HTML & CSS web page"
182,34,"By the end of this course, you will have impressed yourself, and will be able to hit the ground running with your newly acquired skillset"
183,34,Start building beautiful websites
184,34,"Build a portfolio website, so you can highlight your best web work"
185,34,Get the ball rolling for a career in web design
186,35,"Project based teaching to sharpen your HTML, CSS & JavaScript skills"
187,35,Perfect for beginners looking for things to build unique projects in a short timeframe
188,35,"Modern styling with flexbox, CSS animations, custom properties, etc"
189,35,"DOM manipulation, events, array methods, HTTP requests & more"
